Times recorded for training on M1

n = 100000, 10 epochs

cpu, 50, 6.45, 0.011201986

cpu, 100, 5.43, 0.010451091

cpu, 200, 5.11, 0.011088499

cpu, 400, 4.9, 0.011558571

cpu, 1000, 5.54, 0.022512997

cpu, 2000, 6.22, 0.060544275

cpu, 4000, 6.17, 0.094894916

cpu, 8000, 6.44, 0.10684962

cpu, 16k, 6.61, 0.26704338

cpu, 32k, 6.7, 0.3096023

cpu, 64k, 6.86, 0.307854


mps, 50, 39.75, 0.010830567

mps, 100, 21.41, 0.048968475

mps, 200, 1.49, 0.038196806

mps, 400, 1.95, 0.06830369

mps, 1000, 7.34, 0.033025466

mps, 2000, 7.17, 0.07058245

mps, 4000, 7.19, 0.060544275

mps, 8000, 7.12, 0.11826357

mps, 16k, 7.09, 0.12823954

mps, 32k, 7.14, 0.20471583

mps, 64k, 7.52, 0.3468979


__________________________________________________
n = 1000, 100 epochs

device, bs, time, test-loss

cpu, 1, 10.01

cpu, 50, 0.69, 0.03647747

cpu, 100, 0.58, 0.032128144

cpu, 200, 0.6, 0.033303432

cpu, 400, 0.56, 0.07653184

mps, 1, 174.4, 0.013676792


mps, 100, 22.05, 0.010148561

mps, 400, 9.12, 0.016021524
